site_name,site_code,New_taxon,block,trt,year_trt,max_cover,year
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,NPK,T0,8,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Disturbance,T0,10,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Control,T0,8,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Disturbance,T0,9,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Control,T0,8,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,NPK,T0,7,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,NPK,T0,10,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Disturbance,T0,8,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Control,T0,13,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,Control,T0,5,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,NPK,T0,9,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,Disturbance,T0,8,2020
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,NPK,T1,5,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Disturbance,T1,7,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Control,T1,6,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Disturbance,T1,6,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Control,T1,11,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,NPK,T1,6,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,NPK,T1,18,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Disturbance,T1,9,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Control,T1,14,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,Control,T1,10,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,NPK,T1,19,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,Disturbance,T1,10,2021
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,NPK,T2,2,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Disturbance,T2,1,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Control,T2,1,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Disturbance,T2,0.5,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Control,T2,5,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,NPK,T2,9,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Disturbance,T2,3,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Control,T2,10,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,Control,T2,5,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,NPK,T2,7,2022
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,NPK,T3,4,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Disturbance,T3,6,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,1,Control,T3,7,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Disturbance,T3,3,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,Control,T3,7,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,2,NPK,T3,3,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Disturbance,T3,1,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,3,Control,T3,10,2023
Agroscope Changins,chan_dn.ch,Achillea_millefolium,4,Control,T3,1,2023
Churning Rapids,chur_dn.us,Achillea_millefolium,1,Disturbance,T0,15,2021
Churning Rapids,chur_dn.us,Achillea_millefolium,1,NPK,T0,16,2021
Churning Rapids,chur_dn.us,Achillea_millefolium,2,Control,T0,5,2021
Churning Rapids,chur_dn.us,Achillea_millefolium,4,NPK,T0,3,2021
Churning Rapids,chur_dn.us,Achillea_millefolium,4,Control,T0,14,2021
Churning Rapids,chur_dn.us,Achillea_millefolium,4,Disturbance,T0,8,2021
Churning Rapids,chur_dn.us,Achillea_millefolium,1,Disturbance,T1,8,2022
Churning Rapids,chur_dn.us,Achillea_millefolium,1,NPK,T1,20,2022
Churning Rapids,chur_dn.us,Achillea_millefolium,1,Control,T1,1,2022
Churning Rapids,chur_dn.us,Achillea_millefolium,2,Control,T1,2,2022
Churning Rapids,chur_dn.us,Achillea_millefolium,4,NPK,T1,8,2022
Churning Rapids,chur_dn.us,Achillea_millefolium,4,Control,T1,12,2022
Churning Rapids,chur_dn.us,Achillea_millefolium,4,Disturbance,T1,3,2022
Churning Rapids,chur_dn.us,Achillea_millefolium,1,Disturbance,T2,10,2023
Churning Rapids,chur_dn.us,Achillea_millefolium,1,NPK,T2,2,2023
Churning Rapids,chur_dn.us,Achillea_millefolium,4,NPK,T2,3,2023
Churning Rapids,chur_dn.us,Achillea_millefolium,4,Control,T2,12,2023
Domaninek,doma_dn.cz,Achillea_millefolium,1,NPK,T1,37.5,2023
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,2,NPK,T0,0.5,2022
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,2,Control,T0,2,2022
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,2,Disturbance,T0,4,2022
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,3,Disturbance,T0,5,2022
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,1,Disturbance,T1,3,2023
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,2,Control,T1,0.5,2023
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,2,Disturbance,T1,3,2023
Izaak Walton League of America (IWLA),iwla_dn.us,Achillea_millefolium,3,Disturbance,T1,3,2023
Jena,jena_dn.de,Achillea_millefolium,4,Control,T0,80,2021
Jena,jena_dn.de,Achillea_millefolium,4,NPK,T0,66,2021
Jena,jena_dn.de,Achillea_millefolium,4,Disturbance,T0,75,2021
Jena,jena_dn.de,Achillea_millefolium,5,NPK,T0,88,2021
Jena,jena_dn.de,Achillea_millefolium,5,Control,T0,58,2021
Jena,jena_dn.de,Achillea_millefolium,5,Disturbance,T0,52,2021
Jena,jena_dn.de,Achillea_millefolium,6,Disturbance,T0,93,2021
Jena,jena_dn.de,Achillea_millefolium,6,NPK,T0,58,2021
Jena,jena_dn.de,Achillea_millefolium,6,Control,T0,39,2021
Jena,jena_dn.de,Achillea_millefolium,4,Control,T1,57,2022
Jena,jena_dn.de,Achillea_millefolium,4,NPK,T1,65,2022
Jena,jena_dn.de,Achillea_millefolium,4,Disturbance,T1,4,2022
Jena,jena_dn.de,Achillea_millefolium,5,NPK,T1,87,2022
Jena,jena_dn.de,Achillea_millefolium,5,Control,T1,37,2022
Jena,jena_dn.de,Achillea_millefolium,5,Disturbance,T1,10,2022
Jena,jena_dn.de,Achillea_millefolium,6,Disturbance,T1,3,2022
Jena,jena_dn.de,Achillea_millefolium,6,NPK,T1,55,2022
Jena,jena_dn.de,Achillea_millefolium,6,Control,T1,48,2022
Jena,jena_dn.de,Achillea_millefolium,4,Control,T2,79,2023
Jena,jena_dn.de,Achillea_millefolium,4,NPK,T2,87,2023
Jena,jena_dn.de,Achillea_millefolium,4,Disturbance,T2,2,2023
Jena,jena_dn.de,Achillea_millefolium,5,NPK,T2,68,2023
Jena,jena_dn.de,Achillea_millefolium,5,Control,T2,93,2023
Jena,jena_dn.de,Achillea_millefolium,5,Disturbance,T2,8,2023
Jena,jena_dn.de,Achillea_millefolium,6,Disturbance,T2,2,2023
Jena,jena_dn.de,Achillea_millefolium,6,NPK,T2,20,2023
Jena,jena_dn.de,Achillea_millefolium,6,Control,T2,68,2023
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,1,NPK,T0,1,2021
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,2,NPK,T0,1,2021
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,Control,T0,1,2021
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,NPK,T0,20,2021
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,Disturbance,T0,1,2021
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,2,NPK,T1,1,2022
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,Control,T1,1,2022
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,NPK,T1,1,2022
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,1,Disturbance,T2,1,2023
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,1,NPK,T2,1,2023
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,2,Disturbance,T2,2,2023
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,Control,T2,1,2023
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,2,NPK,T3,2,2024
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,Control,T3,1,2024
Kellogg Biological Station (KBS),kell_dn.us,Achillea_millefolium,3,Disturbance,T3,1,2024
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,1,NPK,T0,9,2022
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,1,Disturbance,T0,2,2022
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,1,Control,T0,3,2022
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,2,NPK,T0,13,2022
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,3,Control,T0,1,2022
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,3,Disturbance,T0,3,2022
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,4,Control,T0,3,2022
Konza LTER DRAGNet,konz_dn.us,Achillea_millefolium,5,NPK,T0,5,2022
Kniezenberg,kzbg_dn.at,Achillea_millefolium,3,NPK,T1,1,2023
Hazelrigg,lancaster_dn.uk,Achillea_millefolium,2,Disturbance,T0,1,2022
Hazelrigg,lancaster_dn.uk,Achillea_millefolium,2,Disturbance,T1,8,2023
Lublin,lubl_dn.pl,Achillea_millefolium,1,Control,T0,20,2021
Lublin,lubl_dn.pl,Achillea_millefolium,1,Disturbance,T0,1,2021
Lublin,lubl_dn.pl,Achillea_millefolium,2,NPK,T0,0.5,2021
Lublin,lubl_dn.pl,Achillea_millefolium,1,Control,T1,8,2022
Lublin,lubl_dn.pl,Achillea_millefolium,1,Disturbance,T1,2,2022
Lublin,lubl_dn.pl,Achillea_millefolium,3,Control,T1,0.5,2022
Meranges,mera_dn.es,Achillea_millefolium,1,Control,T0,31,2021
Meranges,mera_dn.es,Achillea_millefolium,1,Disturbance,T0,2,2021
Meranges,mera_dn.es,Achillea_millefolium,1,NPK,T0,2,2021
Meranges,mera_dn.es,Achillea_millefolium,3,Control,T0,1,2021
Meranges,mera_dn.es,Achillea_millefolium,3,Disturbance,T0,3,2021
Meranges,mera_dn.es,Achillea_millefolium,1,Control,T1,14,2022
Meranges,mera_dn.es,Achillea_millefolium,1,NPK,T1,5,2022
Meranges,mera_dn.es,Achillea_millefolium,2,Control,T1,0.5,2022
Meranges,mera_dn.es,Achillea_millefolium,2,NPK,T1,3,2022
Meranges,mera_dn.es,Achillea_millefolium,3,Control,T1,4,2022
Meranges,mera_dn.es,Achillea_millefolium,3,Disturbance,T1,2,2022
Meranges,mera_dn.es,Achillea_millefolium,1,NPK,T2,2,2023
Meranges,mera_dn.es,Achillea_millefolium,2,NPK,T2,4,2023
Meranges,mera_dn.es,Achillea_millefolium,3,Disturbance,T2,9,2023
Meranges,mera_dn.es,Achillea_millefolium,1,Control,T3,5,2024
Meranges,mera_dn.es,Achillea_millefolium,1,Disturbance,T3,4,2024
Meranges,mera_dn.es,Achillea_millefolium,1,NPK,T3,2,2024
Meranges,mera_dn.es,Achillea_millefolium,3,Control,T3,2,2024
Meranges,mera_dn.es,Achillea_millefolium,3,Disturbance,T3,1,2024
Stoderzinken,stod_dn.at,Achillea_millefolium,2,Control,T0,1,2023
WSL,wald_dn.ch,Achillea_millefolium,3,Control,T0,1,2020
WSL,wald_dn.ch,Achillea_millefolium,3,Disturbance,T2,1,2022
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,3,Disturbance,T0,1,2020
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,4,Control,T0,1,2020
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Disturbance,T0,1,2020
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Control,T0,7,2020
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,1,Disturbance,T1,1,2021
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,2,Disturbance,T1,1,2021
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,4,Control,T1,1,2021
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,4,Disturbance,T1,1,2021
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,NPK,T1,1,2021
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Disturbance,T1,6,2021
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Control,T1,2,2021
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Disturbance,T2,1,2022
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Control,T2,2,2022
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,NPK,T3,1,2023
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Disturbance,T3,30,2023
Wallula Gap Biological Station-North Face,wgno_dn.us,Achillea_millefolium,5,Control,T3,20,2023
Wallula Gap Biological Station-South Face,wgso_dn.us,Achillea_millefolium,5,Disturbance,T0,2,2020
Lublin,lubl_dn.pl,Agrimonia_eupatoria,2,Disturbance,T1,30,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,NPK,T0,2,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,Control,T0,2,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,Disturbance,T0,15,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,NPK,T0,3,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,Control,T0,2,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,Disturbance,T0,3,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,Control,T0,1,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,Disturbance,T0,1,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,NPK,T0,7,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Control,T0,10,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,NPK,T0,7,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Disturbance,T0,17,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,NPK,T0,4,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,Control,T0,2,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,Disturbance,T0,15,2021
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,NPK,T1,1,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,Control,T1,5,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,Disturbance,T1,0.5,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,NPK,T1,0.5,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,Control,T1,2,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,Disturbance,T1,5,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,Control,T1,2,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,Disturbance,T1,1,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Control,T1,6,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,NPK,T1,10,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Disturbance,T1,8,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,NPK,T1,2,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,Control,T1,1,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,Disturbance,T1,15,2022
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,Control,T2,4,2023
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,NPK,T2,10,2023
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,Control,T2,6,2023
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,Control,T2,2,2023
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Control,T2,4,2023
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Disturbance,T2,1,2023
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,Control,T2,2,2023
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,Control,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,1,Disturbance,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,NPK,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,Control,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,2,Disturbance,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,Control,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,Disturbance,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,3,NPK,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Control,T3,15,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,NPK,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,4,Disturbance,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,NPK,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,Control,T3,1,2024
Wytham Woods,wyth_dn.uk,Agrimonia_eupatoria,5,Disturbance,T3,1,2024
Hulun Buir,hulu_dn.cn,Agropyron_cristatum,4,Control,T3,1,2022
Millville,mill_dn.us,Agropyron_cristatum,2,NPK,T0,1,2021
Millville,mill_dn.us,Agropyron_cristatum,2,Control,T0,5,2021
Millville,mill_dn.us,Agropyron_cristatum,3,NPK,T0,6,2021
Millville,mill_dn.us,Agropyron_cristatum,3,Control,T0,10,2021
Millville,mill_dn.us,Agropyron_cristatum,3,Disturbance,T0,18,2021
Cary IES,cary_dn.us,Ailanthus_altissima,4,Disturbance,T2,1,2024
Blandy Experimental Farm,blan_dn.us,Allium_vineale,1,Disturbance,T0,1,2022
Blandy Experimental Farm,blan_dn.us,Allium_vineale,2,Control,T0,1,2022
Blandy Experimental Farm,blan_dn.us,Allium_vineale,4,Control,T0,1,2022
Blandy Experimental Farm,blan_dn.us,Allium_vineale,3,Disturbance,T1,2,2023
Blandy Experimental Farm,blan_dn.us,Allium_vineale,4,NPK,T1,1,2023
Blandy Experimental Farm,blan_dn.us,Allium_vineale,5,NPK,T1,2,2023
Blandy Experimental Farm,blan_dn.us,Allium_vineale,5,Disturbance,T1,1,2023
Castellanos,cast_dn.ar,Alternanthera_philoxeroides,1,Control,T0,1,2021
Castellanos,cast_dn.ar,Alternanthera_philoxeroides,3,Disturbance,T1,8,2022
Castellanos,cast_dn.ar,Alternanthera_philoxeroides,1,Disturbance,T2,3,2023
Castellanos,cast_dn.ar,Alternanthera_philoxeroides,1,Control,T2,2,2023
Konza LTER DRAGNet,konz_dn.us,Amaranthus_retroflexus,1,Control,T0,1,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Disturbance,T0,8,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,NPK,T0,35,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Control,T0,40,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Control,T0,50,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,NPK,T0,20,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Disturbance,T0,40,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,Control,T0,30,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,NPK,T0,50,2021
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Disturbance,T1,25,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,NPK,T1,40,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Control,T1,85,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Control,T1,50,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,NPK,T1,10,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Disturbance,T1,40,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,Control,T1,25,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,NPK,T1,25,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,Disturbance,T1,1,2022
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Disturbance,T2,50,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,NPK,T2,65,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Control,T2,90,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Control,T2,85,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,NPK,T2,30,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Disturbance,T2,50,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,Control,T2,30,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,NPK,T2,40,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,Disturbance,T2,6,2023
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Disturbance,T3,70,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,NPK,T3,80,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,1,Control,T3,85,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Control,T3,90,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,NPK,T3,30,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,2,Disturbance,T3,40,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,Control,T3,90,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,NPK,T3,98,2024
Kellogg Biological Station (KBS),kell_dn.us,Andropogon_gerardii,3,Disturbance,T3,20,2024
Oak Lake Field Station,olfs_dn.us,Andropogon_gerardii,1,Control,T0,1,2022
Piedmont Prairie,pied_dn.us,Andropogon_gerardii,4,Control,T1,1,2023
Temple,temple_dn.us,Andropogon_gerardii,1,Disturbance,T0,45,2021
Temple,temple_dn.us,Andropogon_gerardii,3,Disturbance,T0,3,2021
Temple,temple_dn.us,Andropogon_gerardii,4,Disturbance,T0,3,2021
Temple,temple_dn.us,Andropogon_gerardii,5,Disturbance,T0,7,2021
Bayreuth DRAGNet,bayr_dn.de,Anthoxanthum_odoratum,1,Disturbance,T0,2,2020
Bayreuth DRAGNet,bayr_dn.de,Anthoxanthum_odoratum,2,NPK,T0,1,2020
