MatrixID,SpeciesAccepted,Lat,Lon,Country,Continent,DOI_ISBN
244662,Pimpinella_saxifraga,61.066667,7.666667,NOR,Europe,10.1016/j.biocon.2009.12.037
244776,Plantago_coronopus,50.782222,0.070556,GBR,Europe,10.2307/2259533
244780,Plantago_coronopus,36.014167,-5.604444,ESP,Europe,10.1111/j.1600-0587.2012.07425.x
244784,Plantago_coronopus,36.443611,-6.223056,ESP,Europe,10.1111/j.1600-0587.2012.07425.x
244788,Plantago_coronopus,42.573333,-9.0725,ESP,Europe,10.1111/j.1600-0587.2012.07425.x
244792,Plantago_coronopus,43.183333,-9.05,ESP,Europe,10.1111/j.1600-0587.2012.07425.x
244796,Plantago_coronopus,55.141111,10.011944,DNK,Europe,10.1111/j.1600-0587.2012.07425.x
244800,Plantago_coronopus,55.505278,8.257778,DNK,Europe,10.1111/j.1600-0587.2012.07425.x
244804,Plantago_coronopus,56.931944,12.366944,SWE,Europe,10.1111/j.1600-0587.2012.07425.x
244808,Plantago_coronopus,56.423611,12.627222,SWE,Europe,10.1111/j.1600-0587.2012.07425.x
244812,Plantago_coronopus,57.149722,-2.094167,GBR,Europe,10.1111/j.1600-0587.2012.07425.x
244816,Plantago_coronopus,57.535833,-6.226111,GBR,Europe,10.1111/j.1600-0587.2012.07425.x
244820,Plantago_coronopus,47.305556,-2.51,FRA,Europe,10.1111/j.1600-0587.2012.07425.x
244839,Poa_alpina,46.816667,11.033333,AUT,Europe,10.1093/aob/mcp047
244927,Potentilla_recta,48.947222,-115.075,USA,N America,10.1614/IPSM-08-135.1
244928,Potentilla_recta,45.95,-117.45,USA,N America,NA
244932,Primula_elatior,50.85,4.883333,BEL,Europe,10.1890/07-1908.1
245008,Primula_veris,58.95,17.583333,SWE,Europe,10.1111/j.1365-2664.2005.01015.x
245063,Primula_veris,50.716667,5.85,BEL,Europe,10.1111/j.1600-0706.2011.19774.x
245105,Primula_veris,50.75,5.816667,BEL,Europe,10.1007/s11258-004-0026-0
245112,Primula_veris,50.75,5.75,BEL,Europe,10.1111/j.1523-1739.2005.00216.x
245364,Ranunculus_acris,53.237222,-4.023611,GBR,Europe,10.2307/2258643
245366,Ranunculus_bulbosus,53.237222,-4.023611,GBR,Europe,10.2307/2258643
245374,Ranunculus_repens,53.237222,-4.023611,GBR,Europe,10.2307/2258643
245376,Ratibida_columnifera,38.8,-99.2,USA,N America,10.1111/j.1365-2745.2009.01585.x
245522,Scabiosa_columbaria,52.132778,5.291111,NLD,Europe,10.1111/j.1469-8137.1984.tb04155.x
245527,Jacobaea_vulgaris,57.157778,-2.527222,GBR,Europe,10.1111/j.1365-3180.1977.tb00498.x
245529,Jacobaea_vulgaris,48.266667,-114.95,USA,N America,NA
245530,Jacobaea_vulgaris,48.233333,-114.966667,USA,N America,NA
245611,Solidago_altissima,47.500833,7.603611,CHE,Europe,NA
245646,Spartina_alterniflora,46.539444,-123.988611,USA,N America,10.1016/j.tpb.2006.05.003
245647,Sphaeralcea_coccinea,38.8,-99.2,USA,N America,10.1111/j.1365-2745.2009.01585.x
245814,Taraxacum_campylodes,39.616667,-79.95,USA,N America,10.2307/2960501
245818,Taraxacum_campylodes,38.5,-90.5,USA,N America,10.1890/12-1310.1
245849,Themeda_triandra,-24.633333,31.4,ZAF,Africa,10.2307/2404276
245857,Themeda_triandra,-24.716667,31.416667,ZAF,Africa,10.2307/2404276
245871,Thymus_vulgaris,38.643611,0.045556,ESP,Europe,978-84-8014-746-0
245874,Thymus_vulgaris,38.541111,-0.1225,ESP,Europe,978-84-8014-746-0
245893,Tragopogon_dubius,45.853056,-112.401944,USA,N America,10.1890/09-0750
245902,Tragopogon_pratensis,58.833333,17.4,SWE,Europe,NA
245908,Tragopogon_orientalis,51.880556,5.729722,NLD,Europe,10.1111/j.1365-2745.2009.01612.x
245911,Tragopogon_orientalis,51.883889,5.715278,NLD,Europe,10.1111/j.1365-2745.2009.01612.x
245914,Tragopogon_orientalis,50.248056,14.420278,CZE,Europe,10.1111/j.1365-2745.2009.01612.x
245917,Tragopogon_orientalis,50.518333,15.273611,CZE,Europe,10.1111/j.1365-2745.2009.01612.x
245920,Tragopogon_pratensis,51.86,6.0875,NLD,Europe,10.1111/j.1365-2745.2009.01612.x
245923,Tragopogon_pratensis,51.826111,5.285833,NLD,Europe,10.1111/j.1365-2745.2009.01612.x
245929,Trifolium_pratense,51.810556,-0.358056,GBR,Europe,10.1007/s11258-004-0017-1
246495,Cytisus_scoparius,47.65,-122.4,USA,N America,10.1111/j.0272-4332.2004.00481.x
246629,Lantana_camara,-26.864444,152.017778,AUS,Oceania,10.1007/s10144-013-0364-7
