Taxon,Taxon_site,RE,RE_se,model,time_period,experiment,ID,site_name,Demo_trait,Demo_value,New_demo_trait,hypoth
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.338,0.172,Ordbeta,T0-T1,DIST,1,Wytham Woods,T_generation,39.10376182698671,Generation time,H2
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.338,0.172,Ordbeta,T0-T1,DIST,1,Wytham Woods,age_repro,8.104361720252461,Age at first reproduction,H2
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.338,0.172,Ordbeta,T0-T1,DIST,1,Wytham Woods,percapita_repro,0.211625,Per capita reproduction,H1
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-2.982,0.313,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,FirstStepAtt,0.1305458328616013,First step attenuation,H3
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-2.982,0.313,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,Lambda,1.170906773884173,Population growth rate,H4
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-2.982,0.313,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,R0,1.4061237821153136,Net reproductive rate,H1
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-2.982,0.313,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,Reactivity,8.971770626240456,Reactivity,H3
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-2.982,0.313,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,T_generation,2.145843186509487,Generation time,H2
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-2.982,0.313,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,age_repro,3.3204456569500245,Age at first reproduction,H2
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-2.982,0.313,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,percapita_repro,10.348743,Per capita reproduction,H1
Andropogon_gerardii,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.924,0.202,Ordbeta,T0-T1,DIST,1,Kellogg Biological Station (KBS),FirstStepAtt,0.31164810713555763,First step attenuation,H3
Andropogon_gerardii,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.924,0.202,Ordbeta,T0-T1,DIST,1,Kellogg Biological Station (KBS),Lambda,1.50587325216984,Population growth rate,H4
Andropogon_gerardii,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.924,0.202,Ordbeta,T0-T1,DIST,1,Kellogg Biological Station (KBS),R0,2.443680378740669,Net reproductive rate,H1
Andropogon_gerardii,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.924,0.202,Ordbeta,T0-T1,DIST,1,Kellogg Biological Station (KBS),Reactivity,6.099850854275643,Reactivity,H3
Andropogon_gerardii,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.924,0.202,Ordbeta,T0-T1,DIST,1,Kellogg Biological Station (KBS),T_generation,2.0960825145363122,Generation time,H2
Andropogon_gerardii,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.924,0.202,Ordbeta,T0-T1,DIST,1,Kellogg Biological Station (KBS),age_repro,2.1989772112328003,Age at first reproduction,H2
Andropogon_gerardii,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.924,0.202,Ordbeta,T0-T1,DIST,1,Kellogg Biological Station (KBS),percapita_repro,8.15192091677254,Per capita reproduction,H1
Andropogon_gerardii,Andropogon_gerardii_Oak Lake Field Station,-2.815,0.463,Ordbeta,T0-T1,DIST,1,Oak Lake Field Station,FirstStepAtt,0.31164810713555763,First step attenuation,H3
Andropogon_gerardii,Andropogon_gerardii_Oak Lake Field Station,-2.815,0.463,Ordbeta,T0-T1,DIST,1,Oak Lake Field Station,Lambda,1.50587325216984,Population growth rate,H4
Andropogon_gerardii,Andropogon_gerardii_Oak Lake Field Station,-2.815,0.463,Ordbeta,T0-T1,DIST,1,Oak Lake Field Station,R0,2.443680378740669,Net reproductive rate,H1
Andropogon_gerardii,Andropogon_gerardii_Oak Lake Field Station,-2.815,0.463,Ordbeta,T0-T1,DIST,1,Oak Lake Field Station,Reactivity,6.099850854275643,Reactivity,H3
Andropogon_gerardii,Andropogon_gerardii_Oak Lake Field Station,-2.815,0.463,Ordbeta,T0-T1,DIST,1,Oak Lake Field Station,T_generation,2.0960825145363122,Generation time,H2
Andropogon_gerardii,Andropogon_gerardii_Oak Lake Field Station,-2.815,0.463,Ordbeta,T0-T1,DIST,1,Oak Lake Field Station,age_repro,2.1989772112328003,Age at first reproduction,H2
Andropogon_gerardii,Andropogon_gerardii_Oak Lake Field Station,-2.815,0.463,Ordbeta,T0-T1,DIST,1,Oak Lake Field Station,percapita_repro,8.15192091677254,Per capita reproduction,H1
Andropogon_gerardii,Andropogon_gerardii_Piedmont Prairie,-2.839,0.458,Ordbeta,T0-T1,DIST,1,Piedmont Prairie,FirstStepAtt,0.31164810713555763,First step attenuation,H3
Andropogon_gerardii,Andropogon_gerardii_Piedmont Prairie,-2.839,0.458,Ordbeta,T0-T1,DIST,1,Piedmont Prairie,Lambda,1.50587325216984,Population growth rate,H4
Andropogon_gerardii,Andropogon_gerardii_Piedmont Prairie,-2.839,0.458,Ordbeta,T0-T1,DIST,1,Piedmont Prairie,R0,2.443680378740669,Net reproductive rate,H1
Andropogon_gerardii,Andropogon_gerardii_Piedmont Prairie,-2.839,0.458,Ordbeta,T0-T1,DIST,1,Piedmont Prairie,Reactivity,6.099850854275643,Reactivity,H3
Andropogon_gerardii,Andropogon_gerardii_Piedmont Prairie,-2.839,0.458,Ordbeta,T0-T1,DIST,1,Piedmont Prairie,T_generation,2.0960825145363122,Generation time,H2
Andropogon_gerardii,Andropogon_gerardii_Piedmont Prairie,-2.839,0.458,Ordbeta,T0-T1,DIST,1,Piedmont Prairie,age_repro,2.1989772112328003,Age at first reproduction,H2
Andropogon_gerardii,Andropogon_gerardii_Piedmont Prairie,-2.839,0.458,Ordbeta,T0-T1,DIST,1,Piedmont Prairie,percapita_repro,8.15192091677254,Per capita reproduction,H1
Andropogon_gerardii,Andropogon_gerardii_Temple,-2.455,0.371,Ordbeta,T0-T1,DIST,1,Temple,FirstStepAtt,0.31164810713555763,First step attenuation,H3
Andropogon_gerardii,Andropogon_gerardii_Temple,-2.455,0.371,Ordbeta,T0-T1,DIST,1,Temple,Lambda,1.50587325216984,Population growth rate,H4
Andropogon_gerardii,Andropogon_gerardii_Temple,-2.455,0.371,Ordbeta,T0-T1,DIST,1,Temple,R0,2.443680378740669,Net reproductive rate,H1
Andropogon_gerardii,Andropogon_gerardii_Temple,-2.455,0.371,Ordbeta,T0-T1,DIST,1,Temple,Reactivity,6.099850854275643,Reactivity,H3
Andropogon_gerardii,Andropogon_gerardii_Temple,-2.455,0.371,Ordbeta,T0-T1,DIST,1,Temple,T_generation,2.0960825145363122,Generation time,H2
Andropogon_gerardii,Andropogon_gerardii_Temple,-2.455,0.371,Ordbeta,T0-T1,DIST,1,Temple,age_repro,2.1989772112328003,Age at first reproduction,H2
Andropogon_gerardii,Andropogon_gerardii_Temple,-2.455,0.371,Ordbeta,T0-T1,DIST,1,Temple,percapita_repro,8.15192091677254,Per capita reproduction,H1
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Bad Lauchstaedt,-2.849,0.455,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,FirstStepAtt,0.13426829798432044,First step attenuation,H3
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Bad Lauchstaedt,-2.849,0.455,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,Lambda,0.860684361881849,Population growth rate,H4
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Bad Lauchstaedt,-2.849,0.455,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,R0,1.8060863194427321,Net reproductive rate,H1
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Bad Lauchstaedt,-2.849,0.455,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,Reactivity,21.515885693564854,Reactivity,H3
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Bad Lauchstaedt,-2.849,0.455,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,T_generation,1.1925026183239507,Generation time,H2
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Bad Lauchstaedt,-2.849,0.455,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,age_repro,2.3096403543497828,Age at first reproduction,H2
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Bad Lauchstaedt,-2.849,0.455,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,percapita_repro,22.8957281875,Per capita reproduction,H1
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Domaninek,-2.713,0.354,Ordbeta,T0-T1,DIST,1,Domaninek,FirstStepAtt,0.13426829798432044,First step attenuation,H3
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Domaninek,-2.713,0.354,Ordbeta,T0-T1,DIST,1,Domaninek,Lambda,0.860684361881849,Population growth rate,H4
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Domaninek,-2.713,0.354,Ordbeta,T0-T1,DIST,1,Domaninek,R0,1.8060863194427321,Net reproductive rate,H1
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Domaninek,-2.713,0.354,Ordbeta,T0-T1,DIST,1,Domaninek,Reactivity,21.515885693564854,Reactivity,H3
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Domaninek,-2.713,0.354,Ordbeta,T0-T1,DIST,1,Domaninek,T_generation,1.1925026183239507,Generation time,H2
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Domaninek,-2.713,0.354,Ordbeta,T0-T1,DIST,1,Domaninek,age_repro,2.3096403543497828,Age at first reproduction,H2
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Domaninek,-2.713,0.354,Ordbeta,T0-T1,DIST,1,Domaninek,percapita_repro,22.8957281875,Per capita reproduction,H1
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Jena,-2.607,0.214,Ordbeta,T0-T1,DIST,1,Jena,FirstStepAtt,0.13426829798432044,First step attenuation,H3
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Jena,-2.607,0.214,Ordbeta,T0-T1,DIST,1,Jena,Lambda,0.860684361881849,Population growth rate,H4
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Jena,-2.607,0.214,Ordbeta,T0-T1,DIST,1,Jena,R0,1.8060863194427321,Net reproductive rate,H1
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Jena,-2.607,0.214,Ordbeta,T0-T1,DIST,1,Jena,Reactivity,21.515885693564854,Reactivity,H3
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Jena,-2.607,0.214,Ordbeta,T0-T1,DIST,1,Jena,T_generation,1.1925026183239507,Generation time,H2
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Jena,-2.607,0.214,Ordbeta,T0-T1,DIST,1,Jena,age_repro,2.3096403543497828,Age at first reproduction,H2
Arenaria_serpyllifolia,Arenaria_serpyllifolia_Jena,-2.607,0.214,Ordbeta,T0-T1,DIST,1,Jena,percapita_repro,22.8957281875,Per capita reproduction,H1
Armeria_maritima,Armeria_maritima_Potrok Aike,-2.843,0.284,Ordbeta,T0-T1,DIST,1,Potrok Aike,FirstStepAtt,0.1063068162691064,First step attenuation,H3
Armeria_maritima,Armeria_maritima_Potrok Aike,-2.843,0.284,Ordbeta,T0-T1,DIST,1,Potrok Aike,Lambda,1.458043853064239,Population growth rate,H4
Armeria_maritima,Armeria_maritima_Potrok Aike,-2.843,0.284,Ordbeta,T0-T1,DIST,1,Potrok Aike,R0,85.20700476884505,Net reproductive rate,H1
Armeria_maritima,Armeria_maritima_Potrok Aike,-2.843,0.284,Ordbeta,T0-T1,DIST,1,Potrok Aike,Reactivity,243.66070969221215,Reactivity,H3
Armeria_maritima,Armeria_maritima_Potrok Aike,-2.843,0.284,Ordbeta,T0-T1,DIST,1,Potrok Aike,T_generation,8.162938838891867,Generation time,H2
Armeria_maritima,Armeria_maritima_Potrok Aike,-2.843,0.284,Ordbeta,T0-T1,DIST,1,Potrok Aike,age_repro,4.59744408945687,Age at first reproduction,H2
Armeria_maritima,Armeria_maritima_Potrok Aike,-2.843,0.284,Ordbeta,T0-T1,DIST,1,Potrok Aike,percapita_repro,37.23622285505184,Per capita reproduction,H1
Centaurea_jacea,Centaurea_jacea_Agroscope Changins,-2.791,0.238,Ordbeta,T0-T1,DIST,1,Agroscope Changins,FirstStepAtt,0.5628538515110156,First step attenuation,H3
Centaurea_jacea,Centaurea_jacea_Agroscope Changins,-2.791,0.238,Ordbeta,T0-T1,DIST,1,Agroscope Changins,Lambda,0.9157150879324936,Population growth rate,H4
Centaurea_jacea,Centaurea_jacea_Agroscope Changins,-2.791,0.238,Ordbeta,T0-T1,DIST,1,Agroscope Changins,R0,0.04342014145873782,Net reproductive rate,H1
Centaurea_jacea,Centaurea_jacea_Agroscope Changins,-2.791,0.238,Ordbeta,T0-T1,DIST,1,Agroscope Changins,Reactivity,1.528179196038579,Reactivity,H3
Centaurea_jacea,Centaurea_jacea_Agroscope Changins,-2.791,0.238,Ordbeta,T0-T1,DIST,1,Agroscope Changins,T_generation,24.96755031574016,Generation time,H2
Centaurea_jacea,Centaurea_jacea_Agroscope Changins,-2.791,0.238,Ordbeta,T0-T1,DIST,1,Agroscope Changins,age_repro,5.189279856148214,Age at first reproduction,H2
Centaurea_jacea,Centaurea_jacea_Agroscope Changins,-2.791,0.238,Ordbeta,T0-T1,DIST,1,Agroscope Changins,percapita_repro,0.194462,Per capita reproduction,H1
Centaurea_jacea,Centaurea_jacea_Bayreuth DRAGNet,-2.373,0.24,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,FirstStepAtt,0.5628538515110156,First step attenuation,H3
Centaurea_jacea,Centaurea_jacea_Bayreuth DRAGNet,-2.373,0.24,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,Lambda,0.9157150879324936,Population growth rate,H4
Centaurea_jacea,Centaurea_jacea_Bayreuth DRAGNet,-2.373,0.24,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,R0,0.04342014145873782,Net reproductive rate,H1
Centaurea_jacea,Centaurea_jacea_Bayreuth DRAGNet,-2.373,0.24,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,Reactivity,1.528179196038579,Reactivity,H3
Centaurea_jacea,Centaurea_jacea_Bayreuth DRAGNet,-2.373,0.24,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,T_generation,24.96755031574016,Generation time,H2
Centaurea_jacea,Centaurea_jacea_Bayreuth DRAGNet,-2.373,0.24,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,age_repro,5.189279856148214,Age at first reproduction,H2
Centaurea_jacea,Centaurea_jacea_Bayreuth DRAGNet,-2.373,0.24,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,percapita_repro,0.194462,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Agroscope Changins,-2.886,0.205,Ordbeta,T0-T1,DIST,1,Agroscope Changins,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Agroscope Changins,-2.886,0.205,Ordbeta,T0-T1,DIST,1,Agroscope Changins,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Agroscope Changins,-2.886,0.205,Ordbeta,T0-T1,DIST,1,Agroscope Changins,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Agroscope Changins,-2.886,0.205,Ordbeta,T0-T1,DIST,1,Agroscope Changins,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Agroscope Changins,-2.886,0.205,Ordbeta,T0-T1,DIST,1,Agroscope Changins,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Agroscope Changins,-2.886,0.205,Ordbeta,T0-T1,DIST,1,Agroscope Changins,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Agroscope Changins,-2.886,0.205,Ordbeta,T0-T1,DIST,1,Agroscope Changins,percapita_repro,92.08,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Bad Lauchstaedt,-2.679,0.397,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Bad Lauchstaedt,-2.679,0.397,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Bad Lauchstaedt,-2.679,0.397,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Bad Lauchstaedt,-2.679,0.397,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Bad Lauchstaedt,-2.679,0.397,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Bad Lauchstaedt,-2.679,0.397,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Bad Lauchstaedt,-2.679,0.397,Ordbeta,T0-T1,DIST,1,Bad Lauchstaedt,percapita_repro,92.08,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Bayreuth DRAGNet,-2.706,0.277,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Bayreuth DRAGNet,-2.706,0.277,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Bayreuth DRAGNet,-2.706,0.277,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Bayreuth DRAGNet,-2.706,0.277,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Bayreuth DRAGNet,-2.706,0.277,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Bayreuth DRAGNet,-2.706,0.277,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Bayreuth DRAGNet,-2.706,0.277,Ordbeta,T0-T1,DIST,1,Bayreuth DRAGNet,percapita_repro,92.08,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Hazelrigg,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Hazelrigg,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Hazelrigg,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Hazelrigg,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Hazelrigg,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Hazelrigg,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Hazelrigg,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Hazelrigg,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Hazelrigg,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Hazelrigg,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Hazelrigg,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Hazelrigg,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Hazelrigg,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Hazelrigg,percapita_repro,92.08,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Jena,-1.891,0.225,Ordbeta,T0-T1,DIST,1,Jena,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Jena,-1.891,0.225,Ordbeta,T0-T1,DIST,1,Jena,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Jena,-1.891,0.225,Ordbeta,T0-T1,DIST,1,Jena,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Jena,-1.891,0.225,Ordbeta,T0-T1,DIST,1,Jena,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Jena,-1.891,0.225,Ordbeta,T0-T1,DIST,1,Jena,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Jena,-1.891,0.225,Ordbeta,T0-T1,DIST,1,Jena,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Jena,-1.891,0.225,Ordbeta,T0-T1,DIST,1,Jena,percapita_repro,92.08,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Lublin,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Lublin,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Lublin,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Lublin,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Lublin,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Lublin,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Lublin,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Lublin,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Lublin,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Lublin,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Lublin,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Lublin,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Lublin,-2.783,0.464,Ordbeta,T0-T1,DIST,1,Lublin,percapita_repro,92.08,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Stoderzinken,-2.659,0.356,Ordbeta,T0-T1,DIST,1,Stoderzinken,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Stoderzinken,-2.659,0.356,Ordbeta,T0-T1,DIST,1,Stoderzinken,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Stoderzinken,-2.659,0.356,Ordbeta,T0-T1,DIST,1,Stoderzinken,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Stoderzinken,-2.659,0.356,Ordbeta,T0-T1,DIST,1,Stoderzinken,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Stoderzinken,-2.659,0.356,Ordbeta,T0-T1,DIST,1,Stoderzinken,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Stoderzinken,-2.659,0.356,Ordbeta,T0-T1,DIST,1,Stoderzinken,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Stoderzinken,-2.659,0.356,Ordbeta,T0-T1,DIST,1,Stoderzinken,percapita_repro,92.08,Per capita reproduction,H1
Cerastium_fontanum,Cerastium_fontanum_Wytham Woods,-2.631,0.208,Ordbeta,T0-T1,DIST,1,Wytham Woods,FirstStepAtt,0.06747272390385081,First step attenuation,H3
Cerastium_fontanum,Cerastium_fontanum_Wytham Woods,-2.631,0.208,Ordbeta,T0-T1,DIST,1,Wytham Woods,Lambda,NA,Population growth rate,H4
Cerastium_fontanum,Cerastium_fontanum_Wytham Woods,-2.631,0.208,Ordbeta,T0-T1,DIST,1,Wytham Woods,R0,4.565200000000001,Net reproductive rate,H1
Cerastium_fontanum,Cerastium_fontanum_Wytham Woods,-2.631,0.208,Ordbeta,T0-T1,DIST,1,Wytham Woods,Reactivity,20.64082530586905,Reactivity,H3
Cerastium_fontanum,Cerastium_fontanum_Wytham Woods,-2.631,0.208,Ordbeta,T0-T1,DIST,1,Wytham Woods,T_generation,1.005061672121481,Generation time,H2
Cerastium_fontanum,Cerastium_fontanum_Wytham Woods,-2.631,0.208,Ordbeta,T0-T1,DIST,1,Wytham Woods,age_repro,2.428571428571429,Age at first reproduction,H2
Cerastium_fontanum,Cerastium_fontanum_Wytham Woods,-2.631,0.208,Ordbeta,T0-T1,DIST,1,Wytham Woods,percapita_repro,92.08,Per capita reproduction,H1
Cirsium_arvense,Cirsium_arvense_Ainsdale Dune Slacks,-2.757,0.469,Ordbeta,T0-T1,DIST,1,Ainsdale Dune Slacks,FirstStepAtt,0.03582886143808612,First step attenuation,H3
Cirsium_arvense,Cirsium_arvense_Ainsdale Dune Slacks,-2.757,0.469,Ordbeta,T0-T1,DIST,1,Ainsdale Dune Slacks,Lambda,NA,Population growth rate,H4
Cirsium_arvense,Cirsium_arvense_Ainsdale Dune Slacks,-2.757,0.469,Ordbeta,T0-T1,DIST,1,Ainsdale Dune Slacks,R0,25.252242926155972,Net reproductive rate,H1
